Index;Testcase;cobravsmongoose;greencapexml;jsonlib;jsonml;jsonmlpatched;jxon;newtonsoftjson;orgjsonxml;pesterfish;pesterfishdefused;x2js;x2jsabdmob;xmljson-abdera;xmljson-badgerfish;xmljson-cobra;xmljson-gdata;xmljson-parker;xmljson-yahoo
43;Discouraged (u000086-00009F);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
44;BMP plane I (u0000A0-000FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
45;BMP plane II (u001000-001FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
46;BMP plane III (u002000-002FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
47;BMP plane IV (u003000-003FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
48;BMP plane V (u004000-004FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
49;BMP plane VI (u005000-005FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
50;BMP plane VII (u006000-006FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
51;BMP plane VIII (u007000-007FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
52;BMP plane IX (u008000-008FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
53;BMP plane X (u009000-009FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
54;BMP plane XI (u00A000-00AFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
55;BMP plane XII (u00B000-00BFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
56;BMP plane XIII (u00C000-00CFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
57;BMP plane XIV (u00D000-00D7FF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
58;BMP plane XV (u00E000-00EFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
59;BMP plane XVI (u00F000-00FDCF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
60;BMP plane Discouraged (u00FDD0-00FDEF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
61;BMP plane XVII (u00FDF0-00FFFD);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
62;SMP plane (u010000-01FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
63;SMP plane Discouraged (u01FFFE-01FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
64;SIP plane (u020000-02FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
65;SIP plane Discouraged (u02FFFE-02FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
66;Unassigned plane 3 (u030000-03FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
67;Plane 3 Discouraged (u03FFFE-03FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
68;Unassigned plane 4 (u040000-04FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
69;Plane 4 Discouraged (u04FFFE-04FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
70;Unassigned plane 5 (u050000-05FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
71;Plane 5 Discouraged (u05FFFE-05FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
72;Unassigned plane 6 (u060000-06FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
73;Plane 6 Discouraged (u06FFFE-06FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
74;Unassigned plane 7 (u070000-07FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
75;Plane 7 Discouraged (u07FFFE-07FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
76;Unassigned plane 8 (u080000-08FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
77;Plane 8 Discouraged (u08FFFE-08FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
78;Unassigned plane 9 (u090000-09FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
79;Plane 9 Discouraged (u09FFFE-09FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
80;Unassigned plane 10 (u0A0000-0AFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
81;Plane 10 Discouraged (u0AFFFE-0AFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
82;Unassigned plane 11 (u0B0000-0BFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
83;Plane 11 Discouraged (u0BFFFE-0BFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
84;Unassigned plane 12 (u0C0000-0CFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
85;Plane 12 Discouraged (u0CFFFE-0CFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
86;Unassigned plane 13 (u0D0000-0DFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
87;Plane 13 Discouraged (u0DFFFE-0DFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
88;SSP plane (u0E0000-0EFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
89;SSP plane Discouraged (u0EFFFE-0EFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
90;SPUA-A plane (u0F0000-0FFFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
91;SPUA-A plane Discouraged (u0FFFFE-0FFFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
92;SPUA-B plane (u100000-10FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
93;SPUA-B plane Discouraged (u10FFFE-10FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
94;MSWord 2003 XML file;ERROR;FAILED;ERROR;FAILED;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
95;MSWord XML file;ERROR;FAILED;ERROR;FAILED;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
96;OpenDocument sample file;ERROR;ERROR;ERROR;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
97;XML 1.0 5th Edition (XHTML version);ERROR;FAILED;ERROR;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
98;XML 1.0 5th Edition (XML version);ERROR;ERROR;ERROR;FAILED;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;ERROR;FAILED;ERROR
99;SVG Car Demo;ERROR;FAILED;ERROR;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
100;DocBook V5.0 transition guide;ERROR;ERROR;ERROR;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
101;MusicBrainz.org API Response;ERROR;OK;ERROR;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
102;SVG Photos Demo;FAILED;ERROR;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
103;RSS 0.91 sample document;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
104;RSS 0.92 sample document;ERROR;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
105;RSS 2.0 sample document;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
106;XML tree Example (Thesis);ERROR;FAILED;FAILED;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
107;Billion Laughs Attack (PE Version);OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
108;Billion Laughs Attack;OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK
109;Entity Recursion Attack (PE);OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
110;Entity Recursion Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
111;Quadratic Blowup Attack;OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK
112;Doctype Parameter Entity FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
113;External PE DTD FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
114;XInclude FSA Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
115;XSLT FSA Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
116;XXE FSA Attack (PE);OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
117;XXE FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
118;DOCTYPE URL Invocation;OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
119;SchemaLocation NoNamespace URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
120;SchemaLocation URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
121;XInclude URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
122;XXE URL Invocation (PE);OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
123;XXE URL Invocation;OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
;Gesamt;41;96;32;112;122;89;43;26;100;102;98;96;21;80;21;80;80;29
